,predicted demand
0,8173.832404361334
1,8277.796504185933
2,8059.181798350706
3,7462.178571596922
4,7333.742682523901
5,7238.624638144016
6,7148.456697923814
7,7457.104818458591
8,6793.019142245762
9,6568.206625668033
10,6581.2326871336645
11,5270.100301869872
12,4860.367417206666
13,4855.483875673802
14,5252.126810151706
15,5270.32076044234
16,5121.230977163713
17,5235.214588440854
18,5928.174566400656
19,1447.6396799404863
20,1588.9221555121446
21,1561.365467988306
22,2630.8745852900975
23,2640.883006249309
24,2678.4787502226627
25,2514.610985631459
26,2534.5077252198516
27,2861.6485719117873
28,3140.045678084224
29,2912.9385755503536
30,2923.0725878099515
31,813.1035228178735
32,194.51889195426065
33,237.7270569640841
34,376.7580699891546
35,460.6439767509919
36,481.8888649470573
37,557.5057901741616
38,862.8984396867318
39,417.67788003609076
40,468.4486929041054
41,817.1953841434879
42,581.5205003195524
43,554.317586606759
44,533.0302821266173
45,425.9027676976575
46,721.9757360866115
47,946.6385828778066
48,1008.8852500099842
49,1285.666479860623
50,893.7448836387725
51,840.3369634996193
52,836.2147508163721
53,739.382912879179
54,766.4907075883002
55,922.9649414055766
56,584.8490838442731
57,491.0121376711204
58,742.7052034811463
59,878.9532634068369
60,681.7713887515802
61,6372.832617641945
62,2361.268615389957
63,1416.1488662645659
64,1113.7313570754486
65,1096.0050114012606
66,1082.4428473267735
67,1013.2980714172086
68,948.2214834512729
69,958.5523089911162
70,922.7213570773861
71,1103.640661721111
72,831.9434245727812
73,782.8283520955983
74,729.9139797105704
75,704.5827385469934
76,817.4018365971792
77,792.5903428710567
78,859.1622579180635
79,1074.7298026767053
80,1035.3442645820446
81,1090.9681180691023
82,1127.529394691261
83,1185.6228739301223
84,1256.7367652908847
85,1101.6391624202747
86,927.776858698724
87,754.9147846167493
88,3429.8390618222998
89,1354.591389378832
90,1437.9669090727837
